title,Date,UserID ,Reviews,Location Rating,Rooms Rating,Service Rating,stars,Owner Response Date,Owner Response,Brand,Negative,Neutral,Positive,Compound
W New York - Times Square,5/8/25 11:00,67272,"this is a very middling hotel that is showing it's age unfortunately. if you are looking to be directly in times square it is good for that but the particular corner it is on directly adjacent to tkts makes it a hassle to get in and out of the hotel and to the subway even. the rooms are really showing their age (24 years) both in some wear and tear as well as the dated design. the finishes and materials lack the refinement of some of the better w properties. the edition across the avenue is a much nicer option and worth the additional spend. other things of note are the weirdly underutilized street level entrance lobby and some of the areas of the main lobby on the 7th floor. it makes it feel almost abandoned. the gym feels like a bit of an afterthought as it seems to be three hotel rooms turned into a workout space but in two disconnected spaces for no apparent reason. the saving grace here was the responsive and personable staff. otherwise, there are other properties that would be more worthwhile. hoping this property is slated for a much needed reno soon.",2.0,3.0,4.0,3,,,Marriott,0.06,0.788,0.152,0.9638
W New York - Times Square,5/2/25 19:45,75067,"smelly room, stains on carpet, and cockroaches!",,,,1,,,Marriott,0.0,1.0,0.0,0.0
W New York - Times Square,4/30/25 17:43,25868,great location for anything iconic in nyc.,4.0,4.0,4.0,4,,,Marriott,0.0,0.594,0.406,0.6249
W New York - Times Square,4/27/25 22:05,99476,excellent and super friendly customer service. amazing valet staff including charlie and adam upstairs in the concierge. location is perfect for theatre district and times square area. would definitely stay there again.,5.0,5.0,5.0,5,,,Marriott,0.0,0.553,0.447,0.9682
W New York - Times Square,4/26/25 12:53,86606,"very central location, a stone's throw from times square, crowded during the day and even more so in the evening/night. precise room cleaning. there is a bar with music on floor 7, the reception floor.",4.0,4.0,4.0,4,,,Marriott,0.0,1.0,0.0,0.0
W New York - Times Square,4/24/25 22:13,37743,"very nice hotel right on times square - which has advantages in terms of location, but also disadvantages in terms of noise. sound is pre-programmed throughout the evening and sometimes at night. otherwise, of course, perfectly located - for sightseeing as well as business.
the rooms are large by new york standards and, above all, clean and well furnished. there was absolutely nothing to complain about when it came to room service. you have to like the style with lots of colorful plastic. i was missing a few little things for the level, such as a shoe horn or the usual cotton pads etc. the bathroom is a bit small, but at least it has modern facilities and is clean.
the hotel itself is a bit old. the reception was friendly and helpful.",4.0,4.0,4.0,4,,,Marriott,0.039,0.738,0.223,0.9833
W New York - Times Square,4/23/25 8:43,53483,"i stayed in the corner room where full view of times square, i enjoyed it . this hotel located next block of times square.
i happy about the stay i selected with w new york- times square.

i am the marriott platinum customer, they have treated my family well and fulfilled all my requests ...
thank you fie the hotel team.",5.0,5.0,5.0,5,,,Marriott,0.04,0.761,0.199,0.8885
W New York - Times Square,4/20/25 22:54,29928,service is great and you cannot find a better location than this! room is quite a bit outdated though and could use some renovations,5.0,4.0,5.0,5,,,Marriott,0.084,0.764,0.153,0.4563
W New York - Times Square,4/20/25 12:26,68315,"husband & i did a 24hr staycation in the city. location is great! we did overnight self park at their suggested spot with no issues. valet is just double the price.

i do like how the elevator to the lobby is separate from the elevators that goes from the lobby to the rooms. staff are friendly. living room bar is nice. esthetically nice esp with those cozy nooks.

king bed city view room - we weren’t given a high floor but the view wasn’t bad. just wasn’t great. did wish we got a higher floor. the carpets were outdated, certain decor was peeling, bathroom metal vanity was quite rusted so we didn’t use the towels that were touching that metal vanity, but other than that, it was fine. i have pretty bad allergies so i noticed all the piled dust on tv, lighting features, bed frame and that little bed ledge that’s long enough to place your luggage. it’s not terrible but cleaning was bare minimum in my opinion.

noise from 19th floor - not too terrible. it’s alright but it’s time sq. what do you expect. it’s not noisy to the point that you can’t sleep and i’m a light sleeper, however, i was out until 4am so i ko pretty hard once it was time to sleep for a few hrs. housekeeping was very, very loud starting 9am. they basically were my alarm clock lol

nearby - we didn’t eat at the either two restaurants below the hotel bc we went somewhere else. blue fish seemed a bit busier than dos caminos but again, we didn’t eat there. there was a cvs not too far should you need stuff quickly.

during checkout, my husband was handling it, which i should’ve double checked. but by the time we left, i saw we were charged a gatorade, which we did purchase, but also a johnny walker, which we did not drink. we noticed there was only one johnny walker there but we assumed they were just out of one and forgot to restock. don’t feel like driving back nor dealing with an issue over the phone for that charge. just taking a loss for it, but next time, i will be taking a picture of the mini fridge, which i feel like i shouldn’t have to do, but just covering my grounds at least.

will i be staying here in the future? possibly and only if i can get a higher floor. it’s more of a last minute fall back if anything.",5.0,3.0,,3,,,Marriott,0.054,0.829,0.117,0.9799
W New York - Times Square,4/11/25 23:42,29854,good place to stay!,4.0,4.0,4.0,5,,,Marriott,0.0,0.484,0.516,0.4926
W New York - Times Square,4/11/25 13:27,15071,"4 stars for a 4 star hotel, that's it. the building interior was very cool and stylish but the service was average for the price.",5.0,4.0,4.0,4,,,Marriott,0.0,0.93,0.07,0.2014
W New York - Times Square,4/10/25 14:09,49854,"loved it
amazing if not one of the best locations
we got the room on 44th floor partially overlooking times square.
staff great, friendly and efficient.
rooms cosy and large for manhattan standard.
clean
modern
no fault.
would come back anytime.",5.0,5.0,5.0,5,,,Marriott,0.0,0.55,0.45,0.9798
W New York - Times Square,4/10/25 10:27,28823,i stayed at the w this last week. the location is prime right in times square close to a bunch of places to eat a bunch of bars the theater where we saw our broadway show was right around the corner. easy access walking to a lot of different attractions easy to get a cab quick subway probably like a 15 minute walk to central park. the staff were very accommodating. this is not a five star hotel but it definitely had five star service room was clean and quite large for new york standards. the elevators were fast and they have a cute little bar in the lobby that has music and drinks. the restaurant caminos downstairs has really good mexican food and i’m from california and hispanic so i thought it was going to be trash but it was great. coming from someone who always stay in five star luxury hotels i was very pleased with my stay here so were my sisters. the service was great. one thing to keep in mind it’s right next to times square so it can be noisy at night at times because of the lively atmosphere,5.0,5.0,5.0,5,,,Marriott,0.009,0.799,0.192,0.9915
W New York - Times Square,4/9/25 23:05,93545,"perfectly located to everything. nice staff, helped promptly and well. the room was adequately stocked and clean. we would definitely stay here again.",5.0,5.0,5.0,5,,,Marriott,0.0,0.554,0.446,0.926
W New York - Times Square,4/9/25 10:17,67228,location was amazing 🤩 right outside of time square! the lounge was amazing,5.0,3.0,4.0,4,,,Marriott,0.0,0.582,0.418,0.8356
W New York - Times Square,4/8/25 2:08,68182,"nice hotel, nice views, clean rooms and classy like most w’s.
upgraded corner king room is nice.

excellent location, right on times square. the rooms have times square or hudson river views (corner rooms on higher floor)

the service is friendly. the room service menu is nice, especially the breakfast egg n cheese on a croissant, the chicken tortilla soup, quesadillas, wings and fries. you can also order from the blue fish (sushi) and mexican place.

a great hotel if you want to enjoy the times square experience.",5.0,5.0,4.0,5,,,Marriott,0.0,0.686,0.314,0.9859
"Dream Downtown, by Hyatt",6/7/25 2:32,27645,bald manger of phd is very rude . as a guest of the hotel i didn’t expect to be treated with disrespect to enjoy the hotel amenities. he didn’t want to give me his name which shows he can’t take accountability as a manager if he was that.,1.0,1.0,1.0,1,,,Hyatt,0.112,0.806,0.082,-0.3804
"Dream Downtown, by Hyatt",6/5/25 13:26,42841,"i moved here in july 1996 back then it was the covenant house. my room # was 724 and i paid $25.00 a week for rent. i 😍 my view and the round windows, the building was always slanted. this building bring back so many memories.",,,,5,,,Hyatt,0.0,0.941,0.059,0.4588
"Dream Downtown, by Hyatt",6/5/25 11:35,25081,i had the pleasure of visiting dream downtown. the moment i arrived the jess greeted me with a warm welcoming hello and smile. as i struggled to open the umbrella may came over and immediately helped! they both made my day of relaxation a pleasant experience.,5.0,5.0,5.0,5,,,Hyatt,0.039,0.602,0.359,0.9565
"Dream Downtown, by Hyatt",6/5/25 11:25,65653,"didn’t stay in the hotel but came to visit the pool, jess & may were absolutely beyond nice & helpful once i walked in :)! love people like this and appreciate staff that provides such great service!",5.0,1.0,5.0,5,,,Hyatt,0.0,0.538,0.462,0.9829
"Dream Downtown, by Hyatt",6/4/25 14:15,47306,hotel looked beautiful so i called to ask about adding an extra guest to a king bed room (the website says you can for an added charge). the man on the phone barked at me saying they can't do that even after i asked about the added fee and then hung up on me. i would have booked the room with two beds if he hadn't done so!,,,1.0,2,,,Hyatt,0.0,0.941,0.059,0.636
"Dream Downtown, by Hyatt",6/4/25 10:54,52957,"great service. particularly by amit at the pool, thanks amit!",5.0,5.0,5.0,5,,,Hyatt,0.0,0.523,0.477,0.807
"Dream Downtown, by Hyatt",6/4/25 8:42,11421,"i'd not recommend staying here unless you plan to sleep after 4 am.

the hotel has two towers; one tower is taller and has a club on the 12th floor. the club operates until 4 am everyday except monday and tuesday (unless they have private events). the bass can be felt on the 9th floor. i have my ear plugs and a white noise but i still cannot sleep. the bed vibrate and i can hear all the beats.

the room is pretty interesting, but i'd say they are very gimmicky and very annoying instead of being nice. the light controls are laid out in a way that you need a diagram to operate. and the buttons do not dim at night. the noise isolation between rooms is bad and on par with other ny hyatt hotels. for example, you can hear all the doors slamming every morning, as usual.

although the room looks old, in my opinion, it feels cleaner than other hyatt i stayed at in ny. so i guess that's a plus.

the bathroom is spacious for a ny hotel room and the water pressure is generous. although the toilet is a bit too tall for my liking and it does not soft close.

adequate amount of elevators.

the location is nice but it's not a redeeming quality due to the excessive noise from the club.

in short, avoid this hotel unless you are here to party until 4 am.",4.0,1.0,3.0,1,,,Hyatt,0.077,0.819,0.104,0.8558
"Dream Downtown, by Hyatt",6/3/25 15:33,30857,"i would rate negative zero stars if i could. i can see why their rating has dropped to 3.9 stars from 4.8..

so many issues i’m unsure where to begin, we checked out early as the staff was so rude and unpleasant and made the end of our stay unpleasant. then they had the audacity to charge me thousands of dollars extra even though we did not break any policies.

there were damages in the room prior to us occupying it which we do have video reference of. there were also no hot water in two sinks…. in the 4500 per night king guest suite!

we were also falsely accused of smoking in the room, which we did not.. as well as leaving trash in the room… as the garbage was left by the door for housekeeping to collect. we requested house keeping prior to departure and we were not accommodated.

there were absolutely no broken items left by our behalf, and we were falsely accused and charged for that too with no evidence provided.

i requested a copy of the bill and also asked them provide evidentiary support of what they charged us for, showing the dates and details for my records, as i need my legal advisor to review at this point, as they refused to adjust my bill or even provide me with a formal copy.

and please note their establishment has become anything but high-quality, and i wouldn’t want to stay at dream downtown again after the awful experience we had. we had to check out more than two days early because the staff made our stay so uncomfortable and it was an extreme inconvenience. my niece also flew back to north carolina early due to the unpleasant stay. this was for my sisters birthday and a networking event for a major artist i couldn’t event have there due to non working speakers and a less than accommodating staff.. which i had to book elsewhere last minute - and almost lost my job over it.

the only person on their staff who was so pleasant and made our stay comfortable and was always accommodating was latrell (front desk). he was very sincere and accommodating and reflects how a hospitality specialist should be and treat customers. shout out to latrell!!!!!

as mentioned in my original complaint inquiry, i had to book a suite at a an actual high-quality hotel for a major artist networking conference event last minute due to their “engineer” not being able to fix the ceiling speakers. absolutely absurd.

we were also accused of playing loud music by security, and didn’t even have working speakers at the time to have done so……

we spent about 20 grand in their establishment over the weeks we were there and did not break any of their policies and this is an extremely horrible way to treat customers.

#getittogether !",,,,1,,,Hyatt,0.102,0.815,0.083,-0.7282
"Dream Downtown, by Hyatt",6/3/25 13:35,60716,"the design and the vibe of the place… everything feels modern, relaxed, and still has that touch of luxury that makes you feel special.
huge thanks to the entire team for their great service. we’ll definitely be back!

we love staying at the dream hotel because it’s in the perfect location—right in chelsea, in the heart of the meatpacking district, where there’s always so much to do.
there are amazing bars for nightlife, stunning rooftops, and the hotel itself has a pool and a very cool poolside area—perfect for relaxing and enjoying the atmosphere.

the service was excellent, the cocktails were really well made, and the energy of the place just feels special.

on top of that, the location is super convenient: just one block from chelsea market, and one or two blocks from several top-notch restaurants where you can enjoy a refined dinner. these are trendy, high-quality spots that are really worth visiting.

the neighborhood feels very safe and walkable, even at night.
overall, the stay was amazing. in fact, this is our third time staying here! we always choose this hotel for special occasions, and we’ll definitely keep coming back because we love it so much.",5.0,5.0,5.0,5,,,Hyatt,0.018,0.647,0.334,0.9976
"Dream Downtown, by Hyatt",6/2/25 18:49,59077,"great location, highly recommend. stay on the lower floors if you are a light sleeper and don’t want to hear the base from upstairs… i stayed on the 9th… i didn’t hear noise so staying on the 9th floor was no problem for me.",5.0,5.0,5.0,5,,,Hyatt,0.043,0.755,0.202,0.8048
"Dream Downtown, by Hyatt",5/31/25 19:58,18343,"shoutout to rosie at the front desk! she made this stay incredibly special, provided excellent recommendations for places to check out around the city, and provided top notch customer service.

updating my review may 2025: stayed here again, and latrell and paul at the front desk made this experience absolutely incredible. the rooms are spacious, and the location of the hotel itself is prime. also the pool was open during our stay and whoever had the aux knew what they were doing. i quite literally will only stay at dream downtown when i'm in ny.",5.0,3.0,5.0,5,11/10/24 11:28,"Kiara, it's wonderful to hear you had a great time at Dream Downtown, by Hyatt. Your praise for Rosie's excellent recommendations and service is greatly appreciated. We're glad she was able to elevate your stay and enable you to explore the city with confidence. Thank you for choosing us. We eagerly look forward to your next visit.",Hyatt,0.0,0.892,0.108,0.8764
"Dream Downtown, by Hyatt",5/31/25 18:35,84461,"i want to congratulate marelis and camry for their excellent service. she was kind, professional, and very attentive at all times. it's clear she enjoys what she does and her cordial treatment really made a difference. people like her make the experience so much better. thank you, marelis!",5.0,5.0,5.0,5,,,Hyatt,0.0,0.598,0.402,0.9757
"Dream Downtown, by Hyatt",5/28/25 23:46,44378,...nice cool place to stay in mid manhattan!,5.0,5.0,4.0,5,,,Hyatt,0.0,0.527,0.473,0.6588
"Dream Downtown, by Hyatt",5/28/25 2:22,37599,jay and seth are nothing short of amazing!! they helped their guest tremendously 💙,5.0,5.0,5.0,5,,,Hyatt,0.145,0.615,0.24,0.4571
"Dream Downtown, by Hyatt",5/27/25 9:56,19679,"we selected dream downtown due to proximity to chelsea piers for our hockey tournament. the location was ideal for us and there was plenty to do/eat within a short walking distance during our down time. the room itself was satisfactory. the design was fun and there was decent space for an nyc hotel. the switches for the lighting were a bit wonky - buttons instead of usual flip-switches and they weren't responsive. our issue, and when we go back next year we'll plan better, was that our room was on the 11th floor right under a nightclub. this was not disclosed during the reservation nor at check in. the only warning we received was 2 packs of earplugs and a note saying there was a nightclub above us on the nightstand. our friday/saturday nights were not entirely restful.",5.0,3.0,4.0,4,,,Hyatt,0.045,0.861,0.093,0.8054
"Dream Downtown, by Hyatt",5/26/25 9:35,55710,"the worst service ever. there is no on site convenience store, and the coffee shop closes really early. if you’re thirsty for anything besides water, good luck. we had our orders taken at the lobby bar and the bartender never came back. in fact, they just closed up and didn’t even tell us.

check-in day was awful. the first person said i had to wait for a manager. i waited thinking they would find the manager for me, but instead i had to go back to the front desk and wait in line again. the service at the desk has to be the worst people i have ever dealt with at a ny hotel at this price point. also, i was told late checkout was not available even for globalists

we checked multiple times for slippers until they finally called to inform us they were “out of slippers”

the hotel hosts a rooftop bar but they are not associated with the property. there are no perks for the guests who stay here. the first night wasn’t even busy, but they wanted $300 min spend. the second night it was closed for a private party. next door is tao and several other nice establishments.

the only nice thing to say about this place is the location is pretty convenient. there are plenty of bars and food options nearby.

the suite is misrepresented on the website, as there is only one king bed and one murphy bed. the espresso machine was dirty. the private terrace hot tub made it worth it. but still, i cannot recommend this place in its current state. also, the tv barely worked. no other amenities. dollar store soap. the blinds were broken. the tablet doesn’t work. the couch has “stains”",4.0,3.0,1.0,2,,,Hyatt,0.085,0.846,0.069,-0.7225
"Dream Downtown, by Hyatt",5/25/25 14:11,58306,"great place to enjoy yourself & have great vibes.
customer service is great. food is amazing !",5.0,5.0,5.0,5,,,Hyatt,0.0,0.38,0.62,0.9665
"Dream Downtown, by Hyatt",5/24/25 17:58,22220,"scammers. hotel was nice but some of the employees are scammers.

as i was leaving, a tall gentleman who works there is like “bro lemme get you a taxi it’s cheaper than an uber”

it was not cheaper than an uber and i’m guessing he’s getting kickbacks from the taxi drivers. disgusting",,,,2,,,Hyatt,0.078,0.834,0.088,-0.1154
"Dream Downtown, by Hyatt",5/23/25 18:29,60724,"i love this hotel. dream is definitely a dream. the staff is immaculate. specifically shout out to sandra, she is awesome. my fiance and i visited dream in march and she made sure to give us top notch service back then. now in may she did a phenomenal job. this shows that she is consistent and that is great thing. i also want to shout out seth, nick,and jannett because they did a great job assisting and helping us. everyone has a great personality. we will continue to stay at dream hotel because the service is what you want when you have been traveling for hours. well done !!!",5.0,5.0,5.0,5,,,Hyatt,0.0,0.683,0.317,0.99
New York Marriott Downtown,3/16/25 20:04,33408,family of 4. rooms were nice sized and very clean. staff were helpful and friendly. location was great and within walking distance to all the sights we wanted to see. would stay here again!,5.0,5.0,5.0,5,,,Marriott,0.0,0.642,0.358,0.945
New York Marriott Downtown,3/12/25 1:09,55554,"arrived with a reservation at midnight, no rooms available and when asked the receptionist responded with ‘we are working on it’ for 1 hr with no eta.
worst possible experience - never staying here again.",4.0,1.0,1.0,1,,,Marriott,0.111,0.806,0.083,-0.0274
New York Marriott Downtown,3/7/25 14:44,29064,"this was a gift from our kids for the weekend 2/21/25 -2/23/25. i have been to nyc before, but was my husband's 1st visit. within an hour of arriving at the hotel, my husband realized that he had lost his phone in the taxi. the 2 women at the front desk (late morning/ afternoon shift for that friday) took him through steps to get it back which he followed. within the hour, he got the phone back. specifically, those 2 women (they did write their names down, but, unfortunately, can't find their names) knew their jobs, very kind, professional, and both are assets. shout out to every doorman during our visit, too! all were kind, professional, and accomodating. they went above & beyond!
the location of the hotel is wonderful! i am sure downtown is more crowded during the work week, but the weekend crowds were manageable.
the hotel itself is clean & beautiful. the views were wonderful from the 26th floor!
thank you! thank you! all-around wonderful trip",5.0,5.0,5.0,5,,,Marriott,0.029,0.74,0.231,0.9929
New York Marriott Downtown,3/4/25 4:07,52909,"great location, clean room, good service. you can view one world trade in the room",5.0,5.0,5.0,5,,,Marriott,0.0,0.553,0.447,0.8658
New York Marriott Downtown,2/23/25 22:16,98828,"i stay here for work and norman, idris, and the rest of the staff make me feel like a celebrity every time i stay. that’s just heir level of service. norman helped me carry boxes of work material and saved my aching shoulders from further damage. much gratitude!",5.0,5.0,5.0,5,,,Marriott,0.11,0.738,0.153,0.3595
New York Marriott Downtown,2/23/25 17:49,25130,"the room is kinda old, the service is on par but the freaking cleaning crew knocked on my door for 3 times in the morning, geez please do better….. horrible experience",,,,3,,,Marriott,0.214,0.711,0.075,-0.7579
New York Marriott Downtown,2/5/25 6:20,35225,best location if in town for business,5.0,5.0,5.0,5,,,Marriott,0.0,0.588,0.412,0.6369
Hyatt Place New York City / Times Square,6/7/25 12:47,52285,the room was over 300$ and the thermostat didn’t work we tried to sleep in 80° heat engineering never came to fix it. do not stay here. it’s a fake boujee hotel it’s actually mad ghetto,,,,1,,,Hyatt,0.156,0.844,0.0,-0.743
